% Model,3d_full_flux.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 17 2026, 16:39"
% Dimension,3
% Nodes,4286
% Expressions,1
% Description,Volume
% X,Y,Z,Temperature
0.17656132305921285,0.05,0.24539001097615984,377.73979566315006
0.17333333333333337,0.05,0.25,377.6779814027963
0.16989465639254617,0.05,0.24539001097615984,377.8720929759407
0.09785108682395038,0.027726898495404904,0.25,372.79228023594055
0.1000925894728541,0.03328181003790619,0.25,374.05524769738327
0.10449794177632822,0.027733304452145127,0.25,372.7917488603916
0.2,0.03372003901035904,0.1861366274361847,374.09076346470647
0.2,0.03919779934264397,0.19030176612715233,375.37220363949393
0.19999999999999996,0.039044479335430135,0.18397741492575698,375.4158442371524
0.19577290344402273,0.04647521159494428,0.25,376.1747441908922
0.2,0.05,0.25,377.0412850792664
0.2,0.044444444444444446,0.25,375.51339765062073
0.20000000000000004,0.03970541749367719,0.20937476088977364,375.19962888696955
0.20000000000000007,0.03438097716860609,0.20512371698994492,373.9673090286896
0.20000000000000007,0.034735275312425484,0.2114621041409145,373.9407530982544
0.1,0.05,0.25,378.39716460095536
0.09333333333333335,0.05,0.25,378.39123766155404
0.09666666666666666,0.05,0.24422649730810375,378.55584726544856
0.1625600087032334,0,0.21370454342262063,368.03673055543476
0.16684695288401208,0,0.21878578569668544,367.8772227213472
0.1698248161400387,0,0.21406754981159695,367.91187586156445
0.19438707888783163,0.05,0.1822849676352139,378.5306035884008
0.18877415777566323,0.05,0.1786724993729919,378.71794772817594
0.19438707888783163,0.05,0.17587471122495751,378.60364228239376
0.2,0,0.17948717948717946,367.76345027902397
0.2,0,0.18589743589743588,367.69162995503075
0.2,0.005771578769674226,0.18386806866697095,368.59556402148235
0.18868709546784304,0.05,0.19756523420086725,378.4673459303203
0.18303064320176457,0.05000000000000001,0.20019400514745475,378.56141659916676
0.18307417435567466,0.05000000000000001,0.19395276593864527,378.65628477659556
0.16981582660076117,0.006452880617861938,0.25,368.1382914536719
0.17333333333333334,0,0.25,367.0952023079085
0.16666666666666669,0,0.25,367.20888984988
0.15015755669225445,0.05,0.2334557015909966,378.49598653215065
0.14343837112816962,0.05,0.2331969650354348,378.586557059237
0.14694763162361918,0.05,0.22819754152879215,378.66039173755615
0.19577290344402276,0.04091965603938871,0.25,374.7069937691529
0.2,0.03888888888888889,0.25,374.0823321189735
0.15333333333333338,0.05,0.25,378.01865298359724
0.15005251889741816,0.05,0.24448523386366555,378.2164684220306
0.15671918556408485,0.05,0.24448523386366555,378.1210921916597
0.2,0.005771578769674226,0.19027832507722736,368.5172716283667
0.2,0.0117461274236881,0.19464571272414175,369.4614733692973
0.2,0.011543157539348451,0.18824895784676243,369.5105040064114
0.17439879130832187,0,0.2361551209948211,367.3967992868822
0.17286300173654562,0,0.24041232833601056,367.32984267268085
0.17796729044004905,0,0.24094895682681583,367.2235591683217
0.12894486494857954,0.03893184331585173,0.25,375.3189813115812
0.12447243247428977,0.044465921657925865,0.25,376.78818465270547
0.13113909914095645,0.04446592165792587,0.25,376.7390686813576
0.17378338179202923,0.05,0.23113407692858218,378.15439079751695
0.16635177127618772,0.05,0.23064234072270126,378.30726877433517
0.1704511838905785,0.05,0.225606384722804,378.3449076739299
0.2,0.011543157539348451,0.18183870143650602,369.587185380013
0.18906352138794558,0.0055719509085705166,0.25,367.6206681685151
0.18479370944255785,0.011143901817141033,0.25,368.63178730358
0.1914603761092245,0.011143901817141033,0.25,368.48510273581945
0.11112876645920328,0.04443154065046221,0.25,376.8417365941111
0.11779543312586994,0.04443154065046221,0.25,376.81627583708473
0.11559086625173987,0.03886308130092442,0.25,375.3798995845789
0.20000000000000004,0.02364562179344271,0.20954006726291835,371.5048493709985
0.20000000000000004,0.023291323649623313,0.20320168011194878,371.53734475424153
0.2,0.017923645962041622,0.20540985524843547,370.4334479823563
0.2,0.011949097308027748,0.20745272401177747,369.30268670036315
0.2,0.011949097308027748,0.20104246760152106,369.404134473735
0.18833761674085844,0.049999999999999996,0.21093154387156796,378.2498680713868
